text,label,categories
"Se le nota el favoritismo a los hombres, siempre los trata mejor que a las mujeres y hasta se pone coqueta. Ojala controlen eso en la facultad.",ALTO,INTEGRACIÓN INTERPERSONAL
"¡ABURRIDO! Solo leemos el libro. Da guias, pero esos apuntes son larguisimos y en el previo salen cosas que ni estan en la guia. Clase desorganizada y si uno le cae mal, se lo hace saber. Es re cuchilla con los que llegan tarde.",MEDIO,DESEMPEÑO DOCENTE | PROCESOS DE EVALUACIÓN | INTEGRACIÓN INTERPERSONAL
El mister fue un profe excelente. El tema no era tan complicado. Hiso q ir a clase fuera un placer. Es muy chevre y se nota q disfruta su trabajo xd.,BAJO,DESEMPEÑO DOCENTE | INTEGRACIÓN INTERPERSONAL
"Curso virtual util de finanzas. La profe fue justa y clara con lo que pedia. Los quices, el previo y el final no estaban tan yuca. Lea, haga los problemas y sale.",BAJO,DESARROLLO DEL CONOCIMIENTO | DESEMPEÑO DOCENTE
"Como profesora esta bn, nada del otro mundo. Odiaba ir a su clase pq no enseña muy bien. Se nota x el tono de voz q finge cuando le habla a un estudiante. Tmb debe darse cuenta q la comunicacion en el aula es importante. A veces, se notaba una actitud hipocrita.",MEDIO,DESARROLLO DEL CONOCIMIENTO | INTEGRACIÓN INTERPERSONAL
Tipico profesor de biologia creyente de Darwin. Es aburrido y sus tareas son incomprensibles. ¡Evitelo!,MEDIO,DESARROLLO DEL CONOCIMIENTO | DESEMPEÑO DOCENTE
"Q desperdicio de oxigeno. Hable con cualquiera menos con ella. No puede responder ni lo mas simple. NO quiere ni le gusta ayudar a los estudiantes, que ladilla.",MEDIO,DESARROLLO DEL CONOCIMIENTO | INTEGRACIÓN INTERPERSONAL
"No puedo decir nada negativo. Se preocupa por ayudar a que uno aprenda y se nota, solo hay que ver los premios que tiene.",BAJO,DESEMPEÑO DOCENTE | INTEGRACIÓN INTERPERSONAL
Este profe hace todos sus parciales y examenes demaciado largos pa q todos reprueben por no tener tiempo de terminar xd. Y la mayoria de las cosas en sus examenes son temas q ni siquiera a enseñado en clase. Es un completo desorganisado.,ALTO,PROCESOS DE EVALUACIÓN | DESEMPEÑO DOCENTE
"Divertido, interesante, con mucho conocimiento y en general un gran profesor y persona.",BAJO,INTEGRACIÓN INTERPERSONAL
"Este profe es malo con M de Malisimo, nuca mas volvere a ver clases con el. Apesta enseñando cualkier cosa. Sin embargo te da puntos extra a pesar de todo xddddddd.",BAJO,DESARROLLO DEL CONOCIMIENTO | PROCESOS DE EVALUACIÓN
"Dios mio, la peor profesora q e tenido. Literal habla con asertijos, hay mucha lectura y es dificil. Te obliga a ir a clase pq la participacion vale 30% mas 3 trabajos y el final. Literal nunca le entiendo nada!!! EVITAR!!! Casi toda mi clase le tenia miedo a ella y al material xd.",MEDIO,DESEMPEÑO DOCENTE | PROCESOS DE EVALUACIÓN | INTEGRACIÓN INTERPERSONAL
"¡El Dr. Thielen es un profesor increible! Se nota que de verdad disfruta lo que hace. Estoy muy feliz de haberlo tenido de profe. La clase es muy interesante, nunca aburre y el nivel de trabajo es suave; solo haga lo suyo... el cree en el aprendizaje real, no solo en memorizar para un previo.",BAJO,DESARROLLO DEL CONOCIMIENTO | DESEMPEÑO DOCENTE
"Ya habia tomado el curso virtual para evitar las pendejadas de la clase presencial. No hubo diferencia con su forma de calificar y su falta de comunicacion (correos). Jenni espera lo maximo de sus estudiantes. No se toleran excusas. Leeras 4 libros en el semestre. Si no entrega las reseñas, raspa la materia. La honestidad no importa.",MEDIO,DESEMPEÑO DOCENTE | PROCESOS DE EVALUACIÓN
"Vi clases con el Dr. Shreiber, es un profe bastante bueno pero si divaga un poco. Pense q odiaria el lab pero en vdd fue divertido jejeje. Los examenes no son tan malos y los quices son una broma. Tienes q leer el libro y el espera q hables de los capitulos en clase! Fue divertido y lo mantuvo interezante!",BAJO,DESARROLLO DEL CONOCIMIENTO | DESEMPEÑO DOCENTE
"Extremadamente util. Exige mucho y se desvia del tema bastante, pero aprendi muchisimo de el. Tome sus clases si puede, es un teso.",BAJO,DESARROLLO DEL CONOCIMIENTO | DESEMPEÑO DOCENTE
"Fue un profe regular. Tienes q leer para los quices y redactar bn para los previos, pero si presta atencion y lee en vdd no es tan dificil. Saque 3.5. Aunque le gusta mucho escucharse hablar...",BAJO,DESEMPEÑO DOCENTE | PROCESOS DE EVALUACIÓN
"Estaba interesado antes de meter la materia, las tareas fueron una burla y masacro el contenido... que desperdicio de plata.",MEDIO,DESARROLLO DEL CONOCIMIENTO | DESEMPEÑO DOCENTE
"Increiblemente inteligente. Da sus clases de memoria y sabe de todo. Su curso fue fascinante. El unico lio es que hizo sus examenes hace años y no los cambia a lo que enseño este año, pero al final califica suave y ajusta las notas de los previos a su favor.",BAJO,DESARROLLO DEL CONOCIMIENTO | PROCESOS DE EVALUACIÓN
Ella es una persona muy amable y servicial. La clase nunca duraba las dos horas completas y daba tiempo para las tareas. Cuatro trabajos y el trabajo en clase tienen nota. Es importante ir a clase. ¡Volveria a verla!,BAJO,DESEMPEÑO DOCENTE | INTEGRACIÓN INTERPERSONAL
"Estaba emocionado por ver su programa, y el primer previo estuvo bn, pero en el segundo se copio de otros profes y tuvo poco que ver con diversidad. No le importan las opiniones ni la salud mental de los estudiantes, fue una decepcion.",MEDIO,DESARROLLO DEL CONOCIMIENTO | INTEGRACIÓN INTERPERSONAL
"Jajaja, todos los malos comentarios son de los primiparos. Tome 2 clases con Tim, no es facil, pero aprendi y sobrevivi. Me gradue y ahora lo aprecio mucho. Quiere que sean independientes. Es uno de los mejores profes de la U.",BAJO,DESEMPEÑO DOCENTE
"Definitivamente no es la mejor de la U, pero domina su material. Sin embargo, es tan nerd y se rie tanto de sus propios chistes malos que su clase no es divertida. Sus datos curiosos son geniales.",BAJO,DESARROLLO DEL CONOCIMIENTO | DESEMPEÑO DOCENTE
El Dr. Stecker podria ser el mejor filosofo del campus. Pero ojo que eso no significa que tenga la mejor pedagogia. Recomiendo ir a tutorias. Da comentarios sobre los trabajos y quiere que sus estudiantes sean los mejores.,BAJO,DESEMPEÑO DOCENTE | INTEGRACIÓN INTERPERSONAL
"¡NO METAN CLASE CON EL! No habla de la materia. Habla mas q todo de estadistica, ¿pero q tiene q ver eso con esta clase? Repite lo mismo a cada rato y se queda en un capitulo casi un mes. Su libro no tiene sentido. Pesimo profe LOL.",MEDIO,DESARROLLO DEL CONOCIMIENTO | DESEMPEÑO DOCENTE
Impresionante formacion academica eclipsada por su actitud arrogante. MUY creido. Prepotente y desorganisado. Sus clases no tienen sustancia. Podra tener experiencia pero no sirve de nada pq simplemnte no sabe enseñar. Ha sido una decepcion. E V I T A R.,ALTO,DESEMPEÑO DOCENTE | INTEGRACIÓN INTERPERSONAL
"Curtright tiene buen humor, pero la clase es solo el hablando y, a menos que sepa del tema desde antes, practicamente se va a dormir. Es casi imposible vincular los esquemas con el texto. Sin material complementario le va a ir paila en esta materia.",MEDIO,DESARROLLO DEL CONOCIMIENTO | DESEMPEÑO DOCENTE
"Si quiere aprender algo que le ayude para Ingles 2, este no es el profe. Divaga sobre su vida y enseña muy poco de ingles. Su clase fue inutil y no aprendi nada, excepto a no volver a ver clases con el, que tartera.",MEDIO,DESARROLLO DEL CONOCIMIENTO | DESEMPEÑO DOCENTE
"Los previos se basan en lo que se habla en clase, toca ir si o si. Los trabajos los califica re duro, no hace curva y el promedio siempre es bajito. Asi uno mejore con lo que el dice, no garantiza sacar mejor nota por lo subjetivo que es para calificar.",MEDIO,PROCESOS DE EVALUACIÓN
"El prof hiso que mi experiencia con la ciencia fuera genial. Se preocupa mucho por sus estudiantes. Si, sus chistes son viejos y anticuados pero su capacidad para enseñar es genial xd. Todavia recuerdo los puntos q explico usando esos chistes. LMAO",BAJO,DESEMPEÑO DOCENTE | INTEGRACIÓN INTERPERSONAL
"No tome clase con ella, pero intente entrar a su semillero. Tuve una reunion y fue re grosera. En mi primer semestre saque 3.0 en calculo mientras trabajaba y estudiaba. Ella no perdono esa nota. Perdi 45 minutos en esa oficina, que vieja tan tonta.",MEDIO,INTEGRACIÓN INTERPERSONAL
"Esta loco. Absolutamente loko. Puedo entender mejor su frances q su ingles. Es un distinguido profe emerito, pero para la mayoria de nosotros estaba loco xd. Sin embargo, el curso fue MUY facil (el final fue solo de 100 preguntas de opciones multiples, nos dieron 80 en clase).",BAJO,DESEMPEÑO DOCENTE | PROCESOS DE EVALUACIÓN
"Ian es un tipo raro y no es un gran instructor, pero es breve pasar si uno lee el libro y va a clase. Le encanta escucharse hablar solo, por eso es dificil tener una charla seria. Su forma de calificar es una recocha y ambigua. Realmente no da clase, toca memorizar el libro para no raspar.",MEDIO,DESEMPEÑO DOCENTE | PROCESOS DE EVALUACIÓN
"Es muy subjetivo al calificar. Si usted le cae bien, le pone mejor nota.",ALTO,PROCESOS DE EVALUACIÓN | INTEGRACIÓN INTERPERSONAL
Meh. Sobrevalorado. Aunq el material es interesante xd.,BAJO,SIN CATEGORIA
Tiene muchisimas historias. Buen profe pero es dificil seguirle el hilo a las instrucciones y las cambia en el siguiente previo.,MEDIO,DESEMPEÑO DOCENTE | PROCESOS DE EVALUACIÓN
"El corazon de este man esta en el lugar correcto, pero lastimosamente no se le entiende ni un toche. No responde preguntas claro y le habla al tablero. Si muestra interes, el cuchi es relajado con las notas. Si es bueno en calculo saca 5.0, si no... paila.",MEDIO,DESARROLLO DEL CONOCIMIENTO | INTEGRACIÓN INTERPERSONAL
Esta muy bien preparado. Sus apuntes son muy claros y entendibles. El hecho de que sea buena gente tambien ayuda. Lo recomiendo muchisimo.,BAJO,DESARROLLO DEL CONOCIMIENTO | INTEGRACIÓN INTERPERSONAL
"De lejos, el mejor profesor que he tenido. De verdad lo ayuda a uno y le da la oportunidad de salir bien. Esta disponible para asesorias y mas que dispuesto a negociar. ¡Uno de los mejores profes de contabilidad de la facultad!",BAJO,DESEMPEÑO DOCENTE | INTEGRACIÓN INTERPERSONAL
"Tengo q estar de acuerdo con los demas. ¡Szura es definitivamente un imbecil! El semestre pasado nadie llevaba promedio de 4.0. Dijo q los 4 mejores sacarian 5.0 xd. Yo estaba de cuarto pero me clavo un 3.8. Nunca olvidare lo q le hiso a mi promedio, me lo bajo de 4.0 a 3.95 por calificar tan injusto.",ALTO,PROCESOS DE EVALUACIÓN | INTEGRACIÓN INTERPERSONAL
"Totalmente aburrido. Tienes q ir a clase pa conseguir las guias, pero es muy dificil mantenerse despierto :((((",BAJO,DESEMPEÑO DOCENTE
¡Super maravillosa! Tiene mucha vision y siempre te esta presionando para mejor. Incluso despues de graduarte te impulsa. Fantastica la profe.,BAJO,DESEMPEÑO DOCENTE
"Salloway de verdad quiere que todos APRENDAN. Es muy disperso para enseñar y a veces es dificil seguirlo, pero es un hombre alegre y amable (se parece a Papa Noel). Sabe mucho y trata de que la clase valga la pena. Sus previos no son faciles, pero califica justo y ayuda con las notas.",BAJO,DESARROLLO DEL CONOCIMIENTO | PROCESOS DE EVALUACIÓN | INTEGRACIÓN INTERPERSONAL
"Esta materia es dificil de pasar. Si yo pude, cualquiera puede. Solo pasa asistencia las primeras dos semanas. Sin embargo, ayuda mucho en tutorias fuera del salon :DE",BAJO,DESEMPEÑO DOCENTE
El profesor mas relajado que he tenido en mi vida. Si no saca 5.0 en esta clase es por pingo. Te enseña cosas excelentes aunque a veces sea aburrido. EXTREMADAMENTE respetuoso y considerado con los estudiantes.,BAJO,DESARROLLO DEL CONOCIMIENTO | INTEGRACIÓN INTERPERSONAL
"Vi psicologia con Shel cuando estaba en el colegio y fue muy servicial, siempre dispuesto a dar el extra por los alumnos. Es gracioso y mantiene la clase activa.",BAJO,DESEMPEÑO DOCENTE | INTEGRACIÓN INTERPERSONAL
"Excelente profe. Estilo de enseñanza muy efectivo. Una materia super facil siempre y cuando vayas todos los dias, agas el trabajo en clase y los pocos (y faciles) proyectos.",BAJO,DESEMPEÑO DOCENTE
"¡Tuve a este profesor en estadistica! La verdad me costo un poco, pero con MUCHO estudio logre sacar buena nota, gracias a Dios. Fue un maestro amable que se preocupaba por mi nota y si uno se esfuerza, ¡el lo premia! Dio muchas chances para mejorar las notas de los previos.",BAJO,DESEMPEÑO DOCENTE | PROCESOS DE EVALUACIÓN
"No diria q es mal profe cuando ya le agarra el ritmo. Es un poco creido y las cosas se hacen como el diga. A la final, su clase no es dificil si lee y asiste. A el solo le importa su investigacion. Saque un 3.0 raspando con el minimo esfuerzo. Se puede sacar 5.0 si participa xd.",MEDIO,DESEMPEÑO DOCENTE | INTEGRACIÓN INTERPERSONAL
Heywood es un gran tipo. Sabe resto y es apasionado con los temas. Todos los previos y quices se pueden hacer en grupo fuera de clase. Te los da con una semana de tiempo para no andar a las carreras. Sube todo a la plataforma.,BAJO,DESEMPEÑO DOCENTE | PROCESOS DE EVALUACIÓN
"La clase es divertida... pero ultimamente decidio meter examen final. Ojo que esto es MUY importante. El final es SERIO. Lea el libro, o al menos lo que el diga. Si quiere buena nota tiene que salir bien en el final. Yo llevaba 4.5 y despues del final termine con un 3.3 :v",MEDIO,PROCESOS DE EVALUACIÓN
"El profesor mas flojo que he conocido. La asistencia no vale, solo toca leer su libro de principio a fin. Dice que lo que el habla en clase no importa porque ya esta en el libro. LEA, aprenda los terminos y a todos les pone la misma nota, un 3.8.",MEDIO,DESEMPEÑO DOCENTE | PROCESOS DE EVALUACIÓN
Es muy inutil y es el peor profe q e tenido xd.,BAJO,SIN CATEGORIA
Probablemente la mejor clase de la U que he tenido hasta ahora. Divertida y útil. Hice muchos amigos en esta clase.,BAJO,INTEGRACIÓN INTERPERSONAL
Gran profe! Es muy apasionado x la quimica y te la explicara las veces q necesites pa q la entiendas. ¡Volveria a matricular con el! Si escucha y se esfuerza saca 5.0 facil xd.,BAJO,DESARROLLO DEL CONOCIMIENTO | DESEMPEÑO DOCENTE
"Se nego a subir notas al sistema. No tuve errores en mis trabajos, pero puso ""confuso"" en frases aleatorias para clavarme un 3.0 en los ensayos. El ingles es mi fuerte y siempre saco buenas notas, pero con este man no. ¿Falto a una revision grupal? Le pone 0.0 de una.",ALTO,PROCESOS DE EVALUACIÓN | INTEGRACIÓN INTERPERSONAL
"Ya e visto clases con este profe dos veces en materias diferentes y siempre enseña lo mismo. Nos dijo q espera q aprendamos solos y q ojala raspemos. A pesar de hacer previos con apuntes y en pareja, el promedio de la clase fue 2.5. NO METAN CON EL xd.",ALTO,DESEMPEÑO DOCENTE | PROCESOS DE EVALUACIÓN
Pesimo profesor. Se desvia con cuentos de futbol que nada que ver con la clase. Te hace ganar puntos con bobadas. Tiene estandares muy altos y nada de lo que vimos sirvio fuera del salon. Se cree victima de la sociedad.,MEDIO,DESARROLLO DEL CONOCIMIENTO | DESEMPEÑO DOCENTE
"Esa vieja no tiene nada que hacer como profe de la U. Su clase es una recocha, hasta un pingo podria enseñarla. ¡Y que deje de decir ""absolutamente"" todo el tiempo! Nunca responde correos y cuando fui a la oficina me hizo esperar resto.",MEDIO,DESEMPEÑO DOCENTE | INTEGRACIÓN INTERPERSONAL
¡Horrible! Malas habilidades pa dar clase y para tratar a la gente. Tiene favoritos (yo era uno) y solo se preocupa x ellos. Los demas quedan tirados y a veces los boletea en clase. Nunca se inscriban con el xd.,ALTO,INTEGRACIÓN INTERPERSONAL | DESEMPEÑO DOCENTE
"Este man ya deberia jubilarse, no deberia ser profesor.",BAJO,SIN CATEGORIA
Absolutamente el profe mas cariñoso y conocedor q e tenido! Vaya! Si q sabe enseñar xd!,BAJO,DESARROLLO DEL CONOCIMIENTO | INTEGRACIÓN INTERPERSONAL
"Es la segunda vez que la veo con el, no por vago o por fallar a las exposiciones, sino porque me aplazaron el final porque no explico ABSOLUTAMENTE NADA de lo que salio en el examen. Y tiene un humor muy seco, muy toche el man.",ALTO,DESARROLLO DEL CONOCIMIENTO | PROCESOS DE EVALUACIÓN
Muchos talleres practicos en un ambiente muy maduro y de apoyo. Siempre esta disponible para asesorias. ¡Muy alentador el profe!,BAJO,DESEMPEÑO DOCENTE | INTEGRACIÓN INTERPERSONAL
"Es un gran maestro. Se toma su tiempo pa explicar el trabajo... sus parciales son relajados y tmb su clase... le recomiendo q vea con el, y le ayuda a uno con la nota si la respuesta esta medio bien xd.",BAJO,DESEMPEÑO DOCENTE | PROCESOS DE EVALUACIÓN
"Un tipo gracioso, lo que ayuda a estar pendiente, especialmente en las clases de pura teoria. Califica suave, pero la materia en si es yuca. Si usted hace lo suyo, el man se esfuerza para que uno entienda ese tema tan arrecho. Recomendado.",BAJO,DESARROLLO DEL CONOCIMIENTO | DESEMPEÑO DOCENTE
Nunca habia estado tan motivado por un profe hasta q vi Critica de Medios con Sue Collins. La clase fue un reto pero no una agonia; todo lo q aprendimos es clave para entender la sociedad. SUE COLLINS = aprendizaje y buena comedia xd.,BAJO,DESARROLLO DEL CONOCIMIENTO
"La peor profesora con la que he visto clases en mi vida. Soy un estudiante juicioso que cuida sus notas. Ella es irrespetuosa, degradante y no le importa el estudiante; pone malas notas por puro gusto. No hay orden en el salon; me toco ir con el director de programa para que me arreglaran la nota.",ALTO,INTEGRACIÓN INTERPERSONAL | PROCESOS DE EVALUACIÓN
"¡Estudiantes de Farmacia! ¡El tipo equivocado! Metan con otro, especialmente si tienen q ver quimica organica con esta materia xd.",MEDIO,SIN CATEGORIA
Cuidado con el Dr. Fernando como profe o asesor. No enseña para diferentes estilos de aprendizaje. Puede ser un problema grave para alguien que necesite entender la ciencia de las plantas. Depende solo de los libros. Al responder dudas fue muy intolerante y nada servicial.,MEDIO,DESARROLLO DEL CONOCIMIENTO | DESEMPEÑO DOCENTE | INTEGRACIÓN INTERPERSONAL
"El peor profe q e tenido, no enseña nada y no se preocupa por sus estudiantes, uno no sabe como califica. Le envie 3 correos pa revisar mis previos y nunca me respondio, un profe horrible xd.",ALTO,DESEMPEÑO DOCENTE | PROCESOS DE EVALUACIÓN
"El peor profe q e tenido, no te enseña nada y no se preocupa por sus estudiantes, no sabes como te califica, le envie 3 correos pa revisar mis previos y nunca me respondio, un profe horrible xd.",ALTO,DESEMPEÑO DOCENTE | PROCESOS DE EVALUACIÓN
"Hechos directos: Sus previos son difíciles, casi nunca deja tareas (dependiendo de la clase que tomes), compartirá contigo información o imágenes de mentes criminales que no encontrarás en ningún otro lado y te hará crecer como estudiante. Es duro pero necesario. Asiste a clase y aprobarás. Excelente profesor.",BAJO,DESARROLLO DEL CONOCIMIENTO | DESEMPEÑO DOCENTE
"El profe es un gran maestro q quiere q todos sus estudiantes tengan exito. Esta no es una materia facil de ninguna manera, pero se puede pasar. Hay dos tareas y un quiz cada semana, pero te da todo el semestre pa entregarlos. HAZLOS SEMANALMENTE! No te atrases! Da una guia de estudio pal previo y el final con cada pregunta q necesitaras xd.",BAJO,DESEMPEÑO DOCENTE | PROCESOS DE EVALUACIÓN
"Si tienes la oportunidad de ver clases con él, ¡HAZLO! Te hará trabajar por tu nota, pero si pones el esfuerzo, él está dispuesto a darte toda la ayuda que necesites. ¡En serio es increíble!",BAJO,DESEMPEÑO DOCENTE | INTEGRACIÓN INTERPERSONAL
"El profe es el mejor :p, no hay nadie mas genial q el xd.",BAJO,INTEGRACIÓN INTERPERSONAL
¡No matricules química con este señor! ¡Advertencia! Te vas a tirar la materia.,MEDIO,SIN CATEGORIA
Increíble. Una materia súper divertida. Mete todas las clases que puedas con el profe.,BAJO,DESEMPEÑO DOCENTE
"¡Es excelente! Sabe de lo que habla, lo hace interesante, muestra anuncios y ejemplos durante todo el semestre para hacerlo interactivo. En general es un gran profesor y espero volver a ver clases con él.",BAJO,DESARROLLO DEL CONOCIMIENTO | DESEMPEÑO DOCENTE
Este profe es re CUCHILLA. No es un paseo facil y deberias estar agradecido por eso. Vas a la U a APRENDER y no solo a recibir un titulo. En esta clase se trabaja bastante. Me encanta este profe xd.,BAJO,DESEMPEÑO DOCENTE
"No es un buen profesor y te deja en el salón hasta tarde cada maldito día de clase. El señor es amable y un poco torpe, pero solo es bueno enseñando en tutorías uno a uno. Se pone demasiado nervioso en clase para explicar.",MEDIO,DESARROLLO DEL CONOCIMIENTO | DESEMPEÑO DOCENTE
"Es muy amable y la clase es parchada. Sin embargo las notas simplemente te las pone segun como siente q lo hiciste, asi q asegurate de intentar ir a clase. No estoy seguro de q tan duro espera q trabajes, pero es muy dificil conseguir un 5.0 xd.",ALTO,PROCESOS DE EVALUACIÓN | INTEGRACIÓN INTERPERSONAL
"Bueno, no tengo mucho que decir sobre este profesor, pero diré que califica suave, pero tienes que estudiar por tu cuenta porque no da apuntes ni presentaciones. Es una materia aceptable; si no sabes nada de filosofía, mantente alejado o al menos aléjate de él.",MEDIO,DESEMPEÑO DOCENTE
Le entusiasma la clase y sabe mucho sobre cine. Sin embargo hace quices sorpresa y nunca discute las lecturas sobre las q evalua. Los previos cubren material del q no a hablado y tienes q aprenderlo por tu cuenta. Nunca habria matriculado esta clase con el si no fuera obligatoria pa mi carrera xd.,ALTO,PROCESOS DE EVALUACIÓN | DESEMPEÑO DOCENTE
"Genial para primíparos de derecho. No es para los débiles de corazón, ya que los temas son densos, voluminosos y realmente no hay tiempo para perder el tiempo. El profesor realmente se preocupa por sus estudiantes y los que estudian derecho. Él es lo que es: un profesor serio que no está ahí para juegos, ¡sino uno que está ahí para meterte el conocimiento en la cabeza a golpes!",BAJO,DESARROLLO DEL CONOCIMIENTO | INTEGRACIÓN INTERPERSONAL
